epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,58.8795,0.57025,0.46377,0.66667,3.30729,0.00016649,0.00016649,0.0668684
2,117.481,0.41484,0.4058,0.73913,4.70833,0.000319964,0.000319964,0.0336885
3,173.346,0.33671,0.44928,0.69565,6.14453,0.000460238,0.000460238,0.000495474
4,229.151,0.27085,0.49275,0.71014,5.27604,0.0004406,0.0004406,0.0004406
5,289.083,0.22932,0.47826,0.72464,5.84766,0.0004208,0.0004208,0.0004208
6,349.802,0.1976,0.50725,0.73913,5.4056,0.000401,0.000401,0.000401
7,409.039,0.17571,0.49275,0.68116,6.61068,0.0003812,0.0003812,0.0003812
8,473.451,0.16959,0.47826,0.72464,7.00391,0.0003614,0.0003614,0.0003614
9,529.496,0.13795,0.49275,0.71014,6.00651,0.0003416,0.0003416,0.0003416
10,582.711,0.13071,0.46377,0.75362,5.8112,0.0003218,0.0003218,0.0003218
11,636.058,0.1166,0.50725,0.75362,5.86068,0.000302,0.000302,0.000302
12,693.06,0.11296,0.50725,0.72464,7.40104,0.0002822,0.0002822,0.0002822
13,747.007,0.10228,0.49275,0.71014,4.36625,0.0002624,0.0002624,0.0002624
14,800.137,0.09713,0.52174,0.72464,5.23698,0.0002426,0.0002426,0.0002426
15,853.917,0.08745,0.53623,0.73913,7.36849,0.0002228,0.0002228,0.0002228
16,920.976,0.08176,0.52174,0.71014,6.55078,0.000203,0.000203,0.000203
17,973.336,0.07706,0.56522,0.72464,7.08594,0.0001832,0.0001832,0.0001832
18,1027.05,0.06646,0.52174,0.69565,7.4362,0.0001634,0.0001634,0.0001634
19,1080.22,0.07407,0.50725,0.72464,5.72331,0.0001436,0.0001436,0.0001436
20,1133.14,0.06538,0.52174,0.71014,6.89844,0.0001238,0.0001238,0.0001238
21,1187.75,0.06212,0.50725,0.71014,5.17773,0.000104,0.000104,0.000104
22,1241.44,0.05734,0.47826,0.71014,6.35677,8.42e-05,8.42e-05,8.42e-05
23,1294.88,0.05293,0.50725,0.72464,8.99349,6.44e-05,6.44e-05,6.44e-05
24,1347.23,0.05455,0.50725,0.72464,7.1224,4.46e-05,4.46e-05,4.46e-05
25,1400.18,0.04991,0.47826,0.72464,8.26172,2.48e-05,2.48e-05,2.48e-05
