epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.1605,0.23072,0.36232,0.82609,1.82715,0.000236575,0.000236575,0.000236575
2,74.8946,0.13298,0.4058,0.89855,1.55762,0.000427592,0.000427592,0.000427592
3,97.5772,0.13887,0.42029,0.86957,1.81641,0.000571485,0.000571485,0.000571485
4,119.637,0.1272,0.43478,0.89855,1.53223,0.000501942,0.000501942,0.000501942
5,143.121,0.11921,0.4058,0.92754,1.46191,0.000431256,0.000431256,0.000431256
6,167.052,0.09474,0.50725,0.94203,1.39648,0.00036057,0.00036057,0.00036057
7,188.567,0.08862,0.52174,0.91304,1.39844,0.000289884,0.000289884,0.000289884
8,213.757,0.08332,0.52174,0.92754,1.49219,0.000219198,0.000219198,0.000219198
9,239.757,0.07221,0.53623,0.92754,1.42188,0.000148512,0.000148512,0.000148512
10,263.329,0.0667,0.53623,0.92754,1.41602,7.7826e-05,7.7826e-05,7.7826e-05
