log,duration_s,pom_5v_cpu_energy_j_est,pom_5v_cpu_power_mw_max,pom_5v_cpu_power_mw_mean,pom_5v_cpu_power_mw_p95,pom_5v_gpu_energy_j_est,pom_5v_gpu_power_mw_max,pom_5v_gpu_power_mw_mean,pom_5v_gpu_power_mw_p95,pom_5v_in_energy_j_est,pom_5v_in_power_mw_max,pom_5v_in_power_mw_mean,pom_5v_in_power_mw_p95,samples
fp32_ina3221.csv,23.051,31.235,1860.000,1355.023,1617.000,52.580,4206.000,2281.034,4166.000,140.298,8710.000,6086.386,8548.000,88
fp16_ina3221.csv,23.022,37.165,1941.000,1614.318,1860.000,68.739,4044.000,2985.784,4004.000,164.530,8710.000,7146.648,8629.000,88
