log,cpu_avg_mhz_max,cpu_avg_mhz_mean,cpu_avg_mhz_p95,cpu_avg_pct_max,cpu_avg_pct_mean,cpu_avg_pct_p95,cpu_max_pct_max,cpu_max_pct_mean,cpu_max_pct_p95,emc_pct_max,emc_pct_mean,emc_pct_p95,gr3d_pct_max,gr3d_pct_mean,gr3d_pct_p95,power_pom_5v_cpu_avg_mw_max,power_pom_5v_cpu_avg_mw_mean,power_pom_5v_cpu_avg_mw_p95,power_pom_5v_cpu_mw_max,power_pom_5v_cpu_mw_mean,power_pom_5v_cpu_mw_p95,power_pom_5v_gpu_avg_mw_max,power_pom_5v_gpu_avg_mw_mean,power_pom_5v_gpu_avg_mw_p95,power_pom_5v_gpu_mw_max,power_pom_5v_gpu_mw_mean,power_pom_5v_gpu_mw_p95,power_pom_5v_in_avg_mw_max,power_pom_5v_in_avg_mw_mean,power_pom_5v_in_avg_mw_p95,power_pom_5v_in_mw_max,power_pom_5v_in_mw_mean,power_pom_5v_in_mw_p95,ram_total_mb_max,ram_total_mb_mean,ram_total_mb_p95,ram_used_mb_max,ram_used_mb_mean,ram_used_mb_p95,samples,swap_total_mb_max,swap_total_mb_mean,swap_total_mb_p95,swap_used_mb_max,swap_used_mb_mean,swap_used_mb_p95,temp_ao_c_max,temp_ao_c_mean,temp_ao_c_p95,temp_cpu_c_max,temp_cpu_c_mean,temp_cpu_c_p95,temp_gpu_c_max,temp_gpu_c_mean,temp_gpu_c_p95,temp_pll_c_max,temp_pll_c_mean,temp_pll_c_p95,temp_pmic_c_max,temp_pmic_c_mean,temp_pmic_c_p95,temp_thermal_c_max,temp_thermal_c_mean,temp_thermal_c_p95
fp32_tegrastats.log,1479.000,1218.703,1479.000,47.250,28.608,35.250,95.000,52.957,77.000,0.000,0.000,0.000,99.000,68.543,99.000,1357.000,1125.724,1349.000,1820.000,1354.569,1617.000,2673.000,1223.276,2615.000,4287.000,2615.905,4247.000,6588.000,4631.810,6520.000,8831.000,6520.905,8710.000,3964.000,3964.000,3964.000,3282.000,3150.353,3282.000,116,1982.000,1982.000,1982.000,1967.000,1964.284,1967.000,80.500,69.750,79.500,77.000,65.556,76.500,77.000,65.108,76.500,71.000,60.504,70.000,50.000,50.000,50.000,76.750,65.073,76.000
fp16_tegrastats.log,1479.000,1233.160,1479.000,38.250,30.175,36.750,100.000,53.311,100.000,0.000,0.000,0.000,99.000,76.566,98.000,1605.000,1322.623,1600.000,1941.000,1603.208,1860.000,3130.000,1930.689,3093.000,4085.000,3092.057,4044.000,7342.000,5637.226,7297.000,8750.000,7297.377,8669.000,3964.000,3964.000,3964.000,3038.000,2948.887,3038.000,106,1982.000,1982.000,1982.000,1967.000,1967.000,1967.000,83.500,77.189,83.000,80.500,73.250,80.000,80.000,72.844,79.500,74.000,67.901,73.500,50.000,50.000,50.000,79.750,72.877,79.750
