epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.2803,1.57309,0.816,0.989,0.58066,0.000236484,0.000236484,0.000236484
2,31.8044,0.3872,0.89,0.997,0.31119,0.000380536,0.000380536,0.000380536
3,43.5461,0.22671,0.92,1,0.25189,0.00043034,0.00043034,0.00043034
4,54.4399,0.1664,0.962,0.999,0.13438,0.000289884,0.000289884,0.000289884
5,65.3833,0.12331,0.96,0.999,0.11852,0.000148512,0.000148512,0.000148512
