log,duration_s,pom_5v_cpu_energy_j_est,pom_5v_cpu_power_mw_max,pom_5v_cpu_power_mw_mean,pom_5v_cpu_power_mw_p95,pom_5v_gpu_energy_j_est,pom_5v_gpu_power_mw_max,pom_5v_gpu_power_mw_mean,pom_5v_gpu_power_mw_p95,pom_5v_in_energy_j_est,pom_5v_in_power_mw_max,pom_5v_in_power_mw_mean,pom_5v_in_power_mw_p95,samples
fp32_ina3221.csv,23.050,30.436,1779.000,1320.477,1587.000,57.709,4287.000,2503.670,4247.000,146.263,8750.000,6345.580,8669.000,88
fp16_ina3221.csv,23.002,41.667,2224.000,1811.443,2143.000,72.773,4327.000,3163.761,4287.000,174.718,9358.000,7595.727,9277.000,88
