log,cpu_avg_mhz_max,cpu_avg_mhz_mean,cpu_avg_mhz_p95,cpu_avg_pct_max,cpu_avg_pct_mean,cpu_avg_pct_p95,cpu_max_pct_max,cpu_max_pct_mean,cpu_max_pct_p95,emc_pct_max,emc_pct_mean,emc_pct_p95,gr3d_pct_max,gr3d_pct_mean,gr3d_pct_p95,ram_total_mb_max,ram_total_mb_mean,ram_total_mb_p95,ram_used_mb_max,ram_used_mb_mean,ram_used_mb_p95,samples,swap_total_mb_max,swap_total_mb_mean,swap_total_mb_p95,swap_used_mb_max,swap_used_mb_mean,swap_used_mb_p95,temp_ao_c_max,temp_ao_c_mean,temp_ao_c_p95,temp_cpu_c_max,temp_cpu_c_mean,temp_cpu_c_p95,temp_gpu_c_max,temp_gpu_c_mean,temp_gpu_c_p95,temp_pll_c_max,temp_pll_c_mean,temp_pll_c_p95,temp_pmic_c_max,temp_pmic_c_mean,temp_pmic_c_p95,temp_thermal_c_max,temp_thermal_c_mean,temp_thermal_c_p95
fp32_tegrastats.log,1479.000,1210.184,1479.000,62.750,27.091,37.250,96.000,52.771,82.000,0.000,0.000,0.000,99.000,67.508,99.000,3964.000,3964.000,3964.000,3311.000,3138.076,3311.000,118,1982.000,1982.000,1982.000,1861.000,1852.551,1861.000,81.000,67.835,80.000,77.000,63.169,76.000,77.000,62.331,76.000,71.000,58.318,70.500,50.000,50.000,50.000,77.250,62.441,76.250
fp16_tegrastats.log,1479.000,1270.475,1479.000,58.000,31.344,39.750,100.000,57.376,100.000,0.000,0.000,0.000,99.000,76.376,99.000,3964.000,3964.000,3964.000,3066.000,2976.954,3066.000,109,1982.000,1982.000,1982.000,1861.000,1861.000,1861.000,88.500,80.170,88.000,85.500,75.679,84.500,84.000,74.761,83.500,78.500,70.427,78.000,50.000,50.000,50.000,84.000,74.933,83.750
