epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.0426,0.36904,0.37681,0.84058,1.70703,0.000236663,0.000236663,0.000236663
2,80.1247,0.20071,0.46377,0.92754,1.32422,0.000427671,0.000427671,0.000427671
3,108.615,0.18223,0.47826,0.94203,1.33984,0.000571556,0.000571556,0.000571556
4,136.1,0.16304,0.56522,0.98551,1.23828,0.000501942,0.000501942,0.000501942
5,163.866,0.13696,0.62319,0.95652,1.34863,0.000431256,0.000431256,0.000431256
6,191.293,0.11935,0.53623,0.95652,1.23633,0.00036057,0.00036057,0.00036057
7,222.921,0.09852,0.56522,0.94203,1.24316,0.000289884,0.000289884,0.000289884
8,252.564,0.08349,0.55072,0.94203,1.51855,0.000219198,0.000219198,0.000219198
9,278.463,0.06932,0.57971,0.95652,1.45312,0.000148512,0.000148512,0.000148512
10,299.441,0.065,0.53623,0.94203,1.50195,7.7826e-05,7.7826e-05,7.7826e-05
