epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.5684,0.38457,0.43478,0.72464,3.021,0.000166314,0.000166314,0.0669035
2,85.2813,0.30103,0.42029,0.68116,6.00195,0.000319795,0.000319795,0.0337236
3,125.074,0.23837,0.44928,0.69565,7.2168,0.000460076,0.000460076,0.000530548
4,165.372,0.206,0.49275,0.71014,5.17773,0.0004406,0.0004406,0.0004406
5,207.052,0.16815,0.47826,0.66667,5.57617,0.0004208,0.0004208,0.0004208
6,246.242,0.14548,0.43478,0.68116,7.43359,0.000401,0.000401,0.000401
7,287.546,0.12835,0.42029,0.73913,6.22852,0.0003812,0.0003812,0.0003812
8,328.93,0.12336,0.44928,0.73913,8.74219,0.0003614,0.0003614,0.0003614
9,366.542,0.10155,0.49275,0.71014,6.60742,0.0003416,0.0003416,0.0003416
10,408.067,0.09493,0.49275,0.73913,5.55469,0.0003218,0.0003218,0.0003218
11,446.915,0.09006,0.46377,0.73913,5.75195,0.000302,0.000302,0.000302
12,486.888,0.08104,0.47826,0.68116,9.68555,0.0002822,0.0002822,0.0002822
13,527.344,0.0712,0.47826,0.69565,3.64966,0.0002624,0.0002624,0.0002624
14,565.604,0.07562,0.47826,0.71014,4.93555,0.0002426,0.0002426,0.0002426
15,605.161,0.06805,0.46377,0.65217,7.73047,0.0002228,0.0002228,0.0002228
16,657.525,0.06089,0.46377,0.73913,6.14648,0.000203,0.000203,0.000203
17,697.188,0.05981,0.47826,0.72464,8.51172,0.0001832,0.0001832,0.0001832
18,736.342,0.05404,0.49275,0.72464,7.95312,0.0001634,0.0001634,0.0001634
19,778.047,0.05513,0.50725,0.71014,4.41016,0.0001436,0.0001436,0.0001436
20,819.34,0.04734,0.49275,0.71014,6.34375,0.0001238,0.0001238,0.0001238
