epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.1777,0.29578,0.42029,0.71014,4.6875,0.000165963,0.000165963,0.0669733
2,64.4163,0.23134,0.3913,0.71014,4.85547,0.000319458,0.000319458,0.0337934
3,87.4297,0.1964,0.3913,0.72464,4.54688,0.000459752,0.000459752,0.000600399
4,110.64,0.1678,0.44928,0.72464,5.05078,0.0004406,0.0004406,0.0004406
5,132.565,0.14544,0.3913,0.66667,5.55859,0.0004208,0.0004208,0.0004208
6,160.141,0.12497,0.43478,0.69565,6.12891,0.000401,0.000401,0.000401
7,188.209,0.11442,0.4058,0.72464,6.09375,0.0003812,0.0003812,0.0003812
8,217.383,0.104,0.44928,0.71014,6.39844,0.0003614,0.0003614,0.0003614
9,246.934,0.09437,0.43478,0.68116,5.97266,0.0003416,0.0003416,0.0003416
10,274.651,0.08325,0.47826,0.66667,6.08594,0.0003218,0.0003218,0.0003218
11,301.605,0.08256,0.43478,0.68116,6.05078,0.000302,0.000302,0.000302
12,329.074,0.06944,0.44928,0.62319,6.35938,0.0002822,0.0002822,0.0002822
13,357.897,0.06747,0.42029,0.65217,6.24609,0.0002624,0.0002624,0.0002624
14,386.565,0.06492,0.47826,0.65217,6.58594,0.0002426,0.0002426,0.0002426
