base,variant,param_reduction_ratio,zenodo_top1,plantdoc_top1,umair_top1
p03,base,0.0,0.988,0.7391304347826086,0.9874047582024569
p07,base,0.0,0.989,0.6811594202898551,0.9917586689472866
p03,pruned_init,0.0472800596513812,0.987,0.7536231884057971,0.9863162805162494
p03,recovery,0.0472800596513812,0.878,0.391304347826087,0.8148032965324211
p07,pruned_init,0.0472800596513812,0.986,0.7101449275362319,0.9912921785103406
p07,recovery,0.0472800596513812,0.908,0.3768115942028985,0.8351733789457316
