epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.4721,0.33428,0.34783,0.71014,4.59375,0.000165963,0.000165963,0.0669733
2,61.289,0.25604,0.43478,0.72464,4.8125,0.0002997,0.0002997,0.0337737
3,85.033,0.21149,0.43478,0.69565,5.25,0.000400436,0.000400436,0.000541083
4,114.964,0.17824,0.3913,0.73913,5.55859,0.0003515,0.0003515,0.0003515
5,145.392,0.15229,0.44928,0.72464,5.59766,0.000302,0.000302,0.000302
6,176.18,0.13302,0.43478,0.68116,5.71094,0.0002525,0.0002525,0.0002525
7,205.616,0.10828,0.4058,0.71014,5.58984,0.000203,0.000203,0.000203
8,236.131,0.09806,0.43478,0.69565,6.26172,0.0001535,0.0001535,0.0001535
9,263.983,0.09314,0.43478,0.68116,6.45312,0.000104,0.000104,0.000104
10,292.059,0.0817,0.44928,0.68116,6.42578,5.45e-05,5.45e-05,5.45e-05
